School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
19,Dargaville High School,09-4397229,office@darghigh.school.nz,Curtis Gaylor,http://www.dargavillehighschool.co.nz,Plunket Street,,Dargaville,Plunket Street,,Dargaville,310,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
20,Bream Bay College,09-4328226,admin@breambaycollege.school.nz,Julian Cosgrove,http://www.breambaycollege.school.nz/,2 Peter Snell Road,,Ruakaka,PO Box 111,,Ruakaka,151,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
21,Otamatea High School,09-4318230,ohs@otamatea.school.nz,Todd Malcolm,http://www.otamatea.school.nz,Bickerstaffe Road,,Maungaturoto,PO Box 64,,Maungaturoto,547,Rural other,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
22,Ruawai College,09-439 2216,admin@ruawaicollege.school.nz,Aidyn Rasmussen,http://www.ruawaicollege.school.nz,4375 State Highway 12,,Ruawai,PO Box 7,,Ruawai,549,Rural other,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
23,Rodney College,09-4236030,eo@rodneycollege.school.nz,Laurence Caltaux,http://www.rodneycollege.school.nz,287 Rodney Street,,Wellsford,287 Rodney Street,,Wellsford,900,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
24,Mahurangi College,09-4258039,admin@mahurangi.school.nz,Jon Blithe,http://www.mahurangi.school.nz,Woodcocks Road,,Warkworth,PO Box 64,,Warkworth,941,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
25,Orewa College,09-4273833,admin@orewacollege.nz,Wiri Warriner,https://www.orewacollege.nz/,76 Riverside Road,,Orewa,PO Box 345,,Orewa,946,Large urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
26,Kaipara College,09-4208640 Ext 851,info@kaipara.school.nz,Jane Coup,http://www.kaipara.school.nz/,Rautawhiri Road,,Helensville,Rautawhiri Road,,Helensville,800,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
27,Long Bay College,09-4779009,office@lbc.school.nz,CJ Healey,http://www.longbaycollege.com,Ashley Avenue,Torbay,Auckland,PO Box 89007,Torbay,Auckland,742,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
28,Rangitoto College,09-4770150,info@rangitoto.school.nz,Peter Morton (Acting),http://www.rangitoto.school.nz,564 East Coast Road,Browns Bay,Auckland,PO Box 93601,Browns Bay,Auckland,753,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
29,Kristin School,09-4159566,kristin@kristin.school.nz,Kim Green,http://www.kristin.school.nz/,360 Albany Highway,Albany,Auckland,PO Box 300087,Albany,Auckland,752,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
30,Glenfield College,09-4449066,admin@gc.ac.nz,Rakesh Govind,https://www.gc.ac.nz/,60 Kaipatiki Road,Glenfield,Auckland,PO Box 40176,Glenfield,North Shore City,747,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
31,Birkenhead College,09-4839039,office@birkenhead.school.nz,Craig Waller,http://www.birkenhead.school.nz/,140 Birkdale Road,Birkenhead,Auckland,Private Bag 34911,Birkenhead,North Shore City,746,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
32,Northcote College,09-4810141,office@northcote.school.nz,Vicki Barrie,http://www.northcote.school.nz,Kauri Glen Road,Northcote,Auckland,Kauri Glen Road,Northcote,North Shore City,627,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
33,Carmel College,09-4861132,admin@carmel.school.nz,Sarah Kemble,http://www.carmel.school.nz/,108 Shakespeare Road,Milford,Auckland,PO Box 31142,Milford,North Shore City,741,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Raro
34,Takapuna Grammar School,09-4894167,office@takapuna.school.nz,Mary Nixon,http://www.takapuna.school.nz,210 Lake Road,Takapuna,Auckland,PO Box 331096,Takapuna,Auckland,740,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
35,Westlake Boys High School,09-4108667,office@westlake.school.nz,Paul Fordham,http://www.westlake.school.nz,Forrest Hill Road,Takapuna,Auckland,30 Forrest Hill Road,Forrest Hill,North Shore City,620,Major urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Raro
36,Westlake Girls' High School,09-4894169,office@westlakegirls.school.nz,Jane Stanley,http://www.westlakegirls.school.nz,2 Wairau Road,Takapuna,Auckland,2 Wairau Road,Takapuna,North Shore City,627,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Raro
37,Rosmini College,09-4895417,ebarnard@rosmini.school.nz,Nixon Cooper,http://www.rosmini.school.nz,36 Dominion Street,Takapuna,Auckland,36 Dominion Street,Takapuna,North Shore City,622,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Raro
38,Rutherford College,09-8349790,admin@rutherford.school.nz,Gary Moore,https://www.rutherford.school.nz/,Kotuku Street,Te Atatu,Auckland,Kotuku Street,Te Atatu Peninsula,Waitakere,610,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
39,Macleans College,09-5352620,Beyza.McEvoy@macleans.school.nz,Steven Hargreaves,http://www.macleans.school.nz,2 Macleans Road,Bucklands Beach,Auckland,Private Bag 94201,Howick,Auckland,2145,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
40,Green Bay High School,09-8178173,office@greenbayhigh.school.nz,Fiona Barker,http://www.greenbayhigh.school.nz,143-161 Godley Road,Green Bay,Auckland,161 Godley Road,Green Bay,Waitakere,604,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
41,Massey High School,09-8310500,office@masseyhigh.school.nz,Alastair Fairley,http://www.masseyhigh.school.nz/,274 Don Buck Road,Massey,Auckland,274 Don Buck Road,Massey,Waitakere,614,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
42,Waitakere College,09-8367890,secretary@waitakerecollege.school.nz,Mark Shanahan,https://www.waitakerecollege.school.nz/,42 Rathgar Road,Henderson,Auckland,PO Box 21144,Henderson,Waitakere,650,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
43,Henderson High School,09-8389085,admin@hhs.school.nz,Philippa Durkin,http://www.hhs.school.nz,Henderson Valley Road,Henderson,Auckland,PO Box 21141,Henderson,Waitakere,650,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
44,Liston College,09-8389350,nicki.packer@liston.school.nz,Steve Dooley,http://www.liston.school.nz,69 Rathgar Road,Henderson,Auckland,69 Rathgar Road,Henderson,Waitakere,610,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Raro
45,St Dominic's Catholic College (Henderson),09-8390380,stdoms@stdoms.ac.nz,Anna Swann,http://www.stdoms.ac.nz,29 Rathgar Road,Henderson,Auckland,PO Box 21123,Henderson,Waitakere,650,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Raro
46,Western Springs College-Ngā Puna o Waiōrea,09-8156730,admin@wsc.school.nz,Ivan Davis,http://www.westernsprings.school.nz,Motions Road,Western Springs,Auckland,Motions Road,Western Springs,Auckland,1022,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
47,Selwyn College,09-5219610,info@selwyn.school.nz,Sheryll Ofner,http://www.selwyn.school.nz,Kohimarama Road,Kohimarama,Auckland,203 Kohimarama Road,Kohimarama,Auckland,1071,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
48,St Mary's College (Ponsonby),09-3766568,office@stmaryak.school.nz,Sarah Dwan,http://www.stmaryak.school.nz,11 New Street,Ponsonby,Auckland,PO Box 47003,Ponsonby,Auckland,1144,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Raro
49,St Paul's College (Ponsonby),09-3761287,stpauls@stpaulscollege.co.nz,Keith Simento,http://www.stpaulscollege.co.nz/,183 Richmond Road,Ponsonby,Auckland,183 Richmond Road,Grey Lynn,Auckland,1021,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Raro
50,Tyndale Park Christian School,09-2749771,admin@tyndalepark.school.nz,Prasad Patchigalla,http://www.tyndalepark.school.nz,206 Murphys Road,Flat Bush,Auckland,206 Murphys Road,Flat Bush,Auckland,2019,Major urban area,Composite,,Private : Fully Registered,Co-Educational,,Te Tai Raro
51,Auckland Girls' Grammar School,09-3074180,admin@aggs.school.nz,Ngaire Ashmore,http://www.aggs.school.nz,Howe Street,Newton,Auckland,PO Box 68053 Wellesley Street,,Auckland,1141,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Raro
52,Auckland Grammar School,09-6235400,admin@ags.school.nz,Timothy O'Connor,http://www.ags.school.nz,Mountain Road,Epsom,Auckland,Private Bag 99930,Newmarket,Auckland,1149,Major urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Raro
53,Tamaki College,09-5211104,admin@tamaki.ac.nz,Soana Pamaka,http://www.tamaki.ac.nz,Elstree Avenue,Glen Innes,Auckland,PO Box 18061,Glen Innes,Auckland,1743,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
54,Tangaroa College,09-2745764,office@tangaroa.school.nz,Chris Bean,http://www.tangaroa.school.nz,Haumia Way,Otara,Auckland,PO Box 61476,Otara,Manukau,2159,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
55,Sacred Heart College (Auckland),09-5293660,office@sacredheart.school.nz,Patrick Walsh (Acting),http://www.sacredheart.school.nz,250 West Tamaki Road,Glendowie,Auckland,250 West Tamaki Road,Glendowie,Auckland,1071,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Raro
56,Saint Kentigern Girls' School,09-5201400,skg_admin@saintkentigern.com,Marianne Duston,http://www.saintkentigern.com,82 Shore Road,Remuera,Auckland,PO Box 28790,Remuera,Auckland,1541,Major urban area,Full Primary,,Private : Fully Registered,Girls School,,Te Tai Raro
57,Baradene College,09-5246019,admin@baradene.school.nz,Alexandra Russell,http://www.baradene.school.nz,237 Victoria Avenue,Remuera,Auckland,PO Box 28906,Remuera,Auckland,1541,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Raro
58,St Peter's College (Epsom),09-5248108,admin@st-peters.school.nz,James Bentley,http://www.st-peters.school.nz,Mountain Road,Grafton,Auckland,23 Mountain Road,Epsom,Auckland,1023,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Raro
59,Marcellin College,09-625 6509,office@marcellin.school.nz,Kieran Fouhy (Acting),http://www.marcellin.school.nz,617 Mt Albert Road,Royal Oak,Auckland,PO Box 24126,Royal Oak,Auckland,1345,Major urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Raro
60,Epsom Girls Grammar School,09-6305963,office@eggs.school.nz,Brenda McNaughton,http://www.eggs.school.nz,Silver Road,Epsom,Auckland,Silver Road,Epsom,Auckland,1023,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Raro
61,Glendowie College,09-5759128,accounts@gdc.school.nz,Gordon Robertson,http://www.gdc.school.nz,21 Crossfield Road,Glendowie,Auckland,21 Crossfield Road,Glendowie,Auckland,1071,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
62,Dilworth School,09-5231060,info@dilworth.school.nz,,http://www.dilworth.school.nz/,2 Erin Street,Remuera,Auckland,Private Bag 28904,Remuera,Auckland,1541,Major urban area,Composite,,Private : Fully Registered,Boys School,,Te Tai Raro
63,Diocesan School For Girls,09-5200221,office@diocesan.school.nz,Heather McRae,http://www.diocesan.school.nz,Clyde Street,Epsom,Auckland,Private Bag 99939,Newmarket,Auckland,1149,Major urban area,Composite,,Private : Fully Registered,Girls School,,Te Tai Raro
64,St Cuthbert's College (Epsom),09-5204159,information@stcuthberts.school.nz,Charlotte Avery,http://www.stcuthberts.school.nz,122 Market Road,Epsom,Auckland,PO Box 26020,Epsom,Auckland,1344,Major urban area,Composite,,Private : Fully Registered,Girls School,,Te Tai Raro
65,Mt Albert Grammar School,09-8462044,paheadmaster@mags.school.nz,Patrick Drumm,http://www.mags.school.nz,36 Alberton Ave,Mount Albert,Auckland,36 Alberton Avenue,Mount Albert,Auckland,1025,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
66,Marist College,09-8468311,admin@maristcollege.school.nz,Raechelle Taulu,http://www.maristcollege.school.nz,31 Alberton Avenue,Mount Albert,Auckland,31 Alberton Avenue,Mount Albert,Auckland,1025,Major urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Raro
67,Mt Roskill Grammar,09-6210050,admin@mrgs.school.nz,Tom Webb,http://www.mrgs.school.nz,Frost Road,Mount Roskill,Auckland,Frost Road,Mount Roskill,Auckland,1041,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
68,Lynfield College,09-6270600,admin@lynfield.school.nz,Richard Winn (Acting),http://www.lynfield.school.nz,White Swan Road,Mount Roskill,Auckland,191 White Swan Road,Mount Roskill,Auckland,1041,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
69,Bethlehem College,07-5766769,principal@beth.school.nz,Larne Edmeades,http://www.beth.school.nz,24 Elder Lane,Bethlehem,Tauranga,Private Bag 12003,Tauranga Mail Centre,Tauranga,3143,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Whenua
70,Avondale College,09-8287024,admin@avcol.school.nz,Lyndy Watkinson,http://www.avcol.school.nz,Victor Street,Avondale,Auckland,59 Victor Street,Avondale,Auckland,1026,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
71,Edgewater College,09-5769039,business@edgewater.school.nz,Louise Addison,http://www.edgewater.school.nz,32 Edgewater Drive,Pakuranga,Auckland,32 Edgewater Drive,Pakuranga,Manukau,2010,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
72,Pakuranga College,09-534 7159,info@pakuranga.school.nz,Billy Merchant,http://www.pakuranga.school.nz,Pigeon Mountain Road,Bucklands Beach,Auckland,PO Box 82090,Highland Park,Auckland,2143,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
73,Saint Kentigern College,09-5770749,skcadmin@saintkentigern.com,Damon Emtage,http://www.saintkentigern.com,130 Pakuranga Road,Pakuranga,Auckland,PO Box 51060,,Auckland,2140,Major urban area,Secondary (Year 7-15),,Private : Fully Registered,Co-Educational,,Te Tai Raro
74,Aidanfield Christian School,03-3388153,enrol@aidanfield.school.nz,Mark Richardson,http://www.aidanfield.school.nz/,2 Nash Road,Aidanfield,Christchurch,2 Nash Road,Aidanfield,Christchurch,8025,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
75,Kelston Boys' High School,09-8186185,data.manager@kbhs.school.nz,Steve Cole (Acting),http://www.kbhs.school.nz,Archibald Road,New Lynn,Auckland,PO Box 15103,New Lynn,Waitakere,640,Major urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Raro
76,Kelston Girls' College,09-8276063,ppa@kelstongirls.school.nz,Talia McNaughton,http://www.kelstongirls.school.nz,Great North Road,New Lynn,Auckland,PO Box 15798,New Lynn,Waitakere,640,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Raro
77,One Tree Hill College,09-5795049,office@onetreehillcollege.school.nz,Nicholas Coughlan,http://www.onetreehillcollege.school.nz,421 Great South Road,Penrose,Auckland,PO Box 17471,Greenlane,Auckland,1546,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
78,Onehunga High School,09-6366006 Ext 8006,ps@ohs.school.nz,Shameen Hayat,http://www.onehungahigh.school.nz,24 Pleasant Street,Onehunga,Auckland,24 Pleasant Street,Onehunga,Auckland,1061,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
79,Howick College,09-5344492,secretary@howick.school.nz,Dale Burden,http://www.howickcollege.school.nz,Sandspit Road,Howick South,Auckland,PO Box 38142,Howick,Manukau,2145,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
80,Otahuhu College,09-9634000,enquiries@otahuhucollege.school.nz,Neil Watson,http://www.otahuhucollege.school.nz,74-78 Mangere Road,Otahuhu,Auckland,Private Bag 93317,Otahuhu,Auckland,1640,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
81,King's College,09-2760600,reception@kingscollege.school.nz,Patrick Gale,http://www.kingscollege.school.nz,Golf Avenue,Otahuhu,Auckland,PO Box 22012,Otahuhu,Auckland,1640,Major urban area,Secondary (Year 9-15),,Private : Fully Registered,Boys/Senior Co-Ed,,Te Tai Raro
82,McAuley High School,09-2768715,office@mcauleyhigh.school.nz,Jan Waelen,http://www.mcauleyhigh.school.nz/,26 High Street,Otahuhu,Auckland,PO Box 22480,Otahuhu,Auckland,1640,Major urban area,Secondary (Year 9-15),,State : Integrated,Girls School,,Te Tai Raro
83,Mangere College,09-2754029 Ext 100,operations@mangere.school.nz,Geraint Tuiletoa Tagaloa,http://www.mangere.school.nz,23 Bader Drive,Mangere,Auckland,PO Box 43240,,Auckland,2153,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
84,Auckland Seventh-Day Adventist H S,09-2759640,joanne@asdah.school.nz,Gloria Teulilo,http://www.asdah.school.nz/,119 Mountain Road,Mangere Bridge,Auckland,PO Box 59047,Mangere Bridge,Manukau,2022,Major urban area,Secondary (Year 9-15),,State : Integrated,Co-Educational,,Te Tai Raro
85,De La Salle College,09-2764319,admin@delasalle.school.nz,Myles Hogarty,http://www.delasalle.school.nz,81 Gray Avenue,Mangere East,Auckland,PO Box 86001,Mangere East,Manukau,2158,Major urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Raro
86,Papatoetoe High School,09-2784086,office@papatoetoehigh.school.nz,Barry Williams (Acting),http://www.papatoetoehigh.school.nz,19 Nicholson Avenue,Papatoetoe,Auckland,PO Box 23088,Hunters Corner,Manukau,2155,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
87,Aorere College,09-2785608,office@aorere.ac.nz,Leanne Webb,http://www.aorere.ac.nz/,Portage Road,Papatoetoe,Auckland,PO Box 23084,Hunters Corner,Manukau,2155,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
88,Sir Edmund Hillary Collegiate Senior School,09-2745782 Ext 405,office.seniorschool@sehc.school.nz,Christine Pili,http://www.sehc.school.nz,2 Franklyne Road,Otara,Auckland,PO Box 61054,Otara,Manukau,2159,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
89,Manurewa High School,09-2690690,mhs@manurewa.school.nz,Peter Jones,http://www.manurewa.school.nz,67 Browns Road,Manurewa,Auckland,PO Box 75247,Manurewa,Manukau,2243,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
90,James Cook High School,09-2683950,admin@jchs.school.nz,Tina Filipo,http://www.jchs.school.nz,Dr Pickering Avenue,Manurewa,Auckland,PO Box 75647,Manurewa,Manukau,2243,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
91,Papakura High School,09-2964400,enquiries@papakurahigh.school.nz,Simon Craggs,http://www.papakurahigh.school.nz,Willis Road,,Papakura,PO Box 72080,,Papakura,2244,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
92,Rosehill College,09-2950661,inquiries@rosehillcollege.school.nz,Davida Suasua,http://www.rosehillcollege.school.nz,5 Edinburgh Avenue,,Papakura,PO Box 72546,,Papakura,2244,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
93,Pukekohe High School,09-2370117,info@pukekohehigh.school.nz,Murray Saunders,http://www.pukekohehigh.school.nz,14 Harris Street,,Pukekohe,PO Box 306,,Pukekohe,2340,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
94,Wesley College,09-2370224,admin@wesley.school.nz,Brian Evans,http://www.wesley.school.nz,State Highway 22,,Pukekohe,PO Box 58,,Pukekohe,2340,Rural settlement,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Raro
95,Waiuku College,09-2358139,office@waiuku-college.school.nz,Stuart Kelly,http://www.waiuku-college.school.nz/,Constable Road,,Waiuku,PO Box 124,,Waiuku,2341,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
96,Tuakau College,09-2368521,secretary@tuakaucollege.com,Donna Tupaea-Petero,http://www.tuakaucollege.com,Elizabeth Street,,Tuakau,PO Box 102,,Tuakau,2342,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
97,Onewhero Area School,09-2328866,office@onewhero.school.nz,Luke Thompson,http://www.onewhero.school.nz/,29 Hall Road,Onewhero,Tuakau,29 Hall Road RD 2,,Tuakau,2697,Rural other,Composite,,State,Co-Educational,,Te Tai Raro
98,Coromandel Area School,07-8668893,k_morrissey@coroarea.school.nz,Tracey Adams,http://www.coroarea.school.nz,Woollams Avenue,,Coromandel,PO Box 84,,Coromandel,3543,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
99,Mercury Bay Area School,07-8665916,mbas@mbas.ac.nz,Ross Dunn,http://www.mbas.ac.nz,South Highway,,Whitianga,20 South Highway,,Whitianga,3510,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
100,Thames High School,07-8688688,office@thameshigh.school.nz,Michael Hart,http://www.thameshigh.school.nz,300 Sealey Street,,Thames,PO Box 706,,Thames,3540,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
101,Hauraki Plains College,07-8677029,exec@haurakiplains.school.nz,Sharon Moller,http://www.haurakiplains.school.nz,2 Kaihere Road,,Ngatea,PO Box 44,,Ngatea,3541,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
102,Paeroa College,07-8627579,debbieg@paeroacollege.school.nz,Andrew Cameron,http://www.paeroacollege.school.nz,15 Te Aroha Road,,Paeroa,PO Box 144,,Paeroa,3640,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
103,Waihi College,07-8638349,principal@waihicol.school.nz,Briar Carden-Scott,http://www.waihicol.school.nz,Kensington Road,,Waihi,PO Box 72,,Waihi,3641,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
104,Te Kauwhata College,07-8263715,admin@tkcoll.school.nz,Deborah Hohneck,http://tkcoll.school.nz,50-64 Waerenga Road,,Te Kauwhata,PO Box 24,,Te Kauwhata,3741,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
