Sr No,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),County Description,Email,Phone No.,Principal Name,Local Authority Description,Ethos Description,Female,Male,Total
25,BALLYCONNELL N S,Ballyconnell,Tullow,Co. Carlow,Carlow,ballyconnellnationalschool@gmail.com,0599156226,Mary Dolan,Carlow County Council,Catholic,114,85,199
26,GLENEALY 1 N S,Glenealy,Co. Wicklow,,Wicklow,secretary@glenealy2ns.com,040444884,Cliona Hartigan,Wicklow County Council,Catholic,51,65,116
27,ESKER N S,Esker,Athenry,Co. Galway,Galway,office@eskerns.ie,091848008,Paul Connell,Galway County Council,Catholic,28,37,65
28,SCOIL CROI IOSA,Newcastle Road,Galway,,Galway,scoilchroiiosa@gmail.com,091525904,Colin Barry,Galway City Council,Catholic,60,62,122
29,S N POL NAOFA,Church Road,Castlerea,Co. Roscommon,Roscommon,principal@stpaulsboysns.com,0949620566,Olivia Walsh,Roscommon County Council,Catholic,,66,66
30,BAILE AN CHUILINN N S,Ballinkillen,Muinebeag,Co. Carlow,Carlow,bkns.ias@gmail.com,0599775153,Leila M Doorley,Carlow County Council,Catholic,62,64,126
31,LEITRIM MXD N S,Leitrim Village,Carrick-on-Shannon,Co. Leitrim,Leitrim,leitrimns@gmail.com,0719621205,Richella Kelly,Leitrim County Council,Catholic,104,116,220
32,S N na hAille,Westown,Naul,Co. Dublin,Dublin,naulns1834@gmail.com,018413821,Kate Henry,Fingal County Council,Catholic,73,90,163
33,NEWTOWN DUNLECKNEY MXD,Newtown,Muinebheag,Co. Carlow,Carlow,office@newtowndunleckneyns.com,0599727299,Lisa Murphy,Carlow County Council,Catholic,72,72,144
34,S N CHUAN DOIR,Drombeg,Glandore,Co. Cork,Cork,office@glandorens.ie,02833796,Catherine (Ríona) Murray,Cork County Council,Catholic,33,38,71
35,TIPPERARY JNR BN S,St Michael's Street,Tipperary,,Tipperary,stmichaelsjbs@gmail.com,06251913,Siobhan Verdon,Tipperary (Sr) County Council,Catholic,,107,107
36,ST MICHAELS NATIONAL SCHOOL,Danesfort,Co. Kilkenny,,Kilkenny,danesfortns@gmail.com,0567727588,Niamh McGrath,Kilkenny County Council,Catholic,33,30,63
37,STACKALLEN N S,Stackallen,Navan,Co. Meath,Meath,info@stackallenschool.com,0469024207,Rebekah Rafferty,Meath County Council,Catholic,91,79,170
38,KILTORMER N S,Kiltormer,Ballinasloe,Co. Galway,Galway,kiltormernsgalway@gmail.com,0909627109,Eimear Mahony,Galway County Council,Catholic,44,45,89
39,KILNALECK MIXED N S,Barrack Road,Kilnaleck,Co. Cavan,Cavan,kilnaleckns1@gmail.com,0494336728,Amanda O'Reilly,Cavan County Council,Catholic,61,45,106
40,AGLISH N S,Aglish,Cappoquin,Co. Waterford,Waterford,aglishnationalschool@gmail.com,02496425,Jennifer Lynch,Waterford County Council,Catholic,31,51,82
41,TULLOHA NATIONAL SCHOOL,Bonane,Kenmare,Co. Kerry,Kerry,tullohans@gmail.com,0646641977,Pamela Dillane,Kerry County Council,Catholic,12,11,23
42,RATHOE NS,Rathoe,Co. Carlow,,Carlow,info@rathoens.com,0599148786,Erika Murphy,Carlow County Council,Catholic,83,92,175
43,KILSKYRE MIXED N S,Kilskyre,Kells,Co. Meath,Meath,kilskyrens@gmail.com,0469243947,Bebhinn King,Meath County Council,Catholic,40,47,87
44,S N COLUMCILLE,Tullydonnell,Togher,Drogheda,Louth,st.colmcilles1@gmail.com,0416852301,Anne Marie Ford,Louth County Council,Catholic,62,89,151
45,ST. MOCHTA'S NATIONAL SCHOOL,Louth Village,Co. Louth,,Louth,louthschool@gmail.com,0429374840,Patrick Martin,Louth County Council,Catholic,82,99,181
46,Ballapousta NS,Ballapousta,Ardee,Co. Louth,Louth,principal@ballapoustans.ie,0416853966,Peter Dooley,Louth County Council,Catholic,97,89,186
47,BALLYCAHILL N S,Ballycahill,Thurles,Co. Tipperary,Tipperary,office@ballycahillns.com,0851646484,Mary Madden,Tipperary (Nr) County Council,Catholic,28,21,49
48,S N NAOMH PADRAIG,Carrowhill,Drumfries,Co. Donegal,Donegal,admin@drumfriesschool.com,0749363396,Sorcha Harkin,Donegal County Council,Catholic,27,37,64
49,SCOIL NAOMH IÓSAF,Connaghkinnego,Ballymagan,Buncrana,Donegal,stjoesias@gmail.com,0749362212,Andrea Long,Donegal County Council,Catholic,28,17,45
50,GLOUNAGUILLAGH N S,Glannagilliagh,Caragh Lake,Killorglin,Kerry,office@glounaguillaghns.ie,0669769402,Sinead Pigott,Kerry County Council,Catholic,68,69,137
51,ST JOHNS,Golden Grove Road,Roscrea,Co. Tipperary,Tipperary,scoileoinnaofa@gmail.com,050523903,Mark McLoughlin,Tipperary (Nr) County Council,Catholic,78,85,163
52,S N Cor na Fola B,Cornafulla,Athlone,Co. Roscommon,Roscommon,principal@cornafullans.ie,0906437177,Ronan Farrell,Roscommon County Council,Catholic,112,111,223
53,BALLINDINE B N S,Ballindine,Claremorris,Co. Mayo,Mayo,ballindineinfo@gmail.com,0949364204,Stephen McHugh,Mayo County Council,Catholic,62,76,138
54,DROMLEIGH N S,Dromleigh,Kilmichael,Macroom,Cork,office@dromleighns.ie,02646212,Julie Murray,Cork County Council,Catholic,23,23,46
55,FIRMOUNT MIXED N S,Firmount,Donoughmore,Co. Cork,Cork,info@firmountns.ie,0217337344,Liam Buckley,Cork County Council,Catholic,77,94,171
56,S N CILL ROSANTA,Kilrossanty,Kilmacthomas,Co. Waterford,Waterford,office@kilrossantyns.ie,051291419,Catherine Dunwoody,Waterford County Council,Catholic,44,58,102
57,BALLYNACARGY MIXED N S,Ballynacargy,Co. Westmeath,,Westmeath,principal.ballynacargyns@gmail.com,0449373300,Lorraine Rowan,Westmeath County Council,Catholic,31,24,55
58,ARDARA MIXED N S,Back Road,Ardara,Co. Donegal,Donegal,office@ardaramixed.com,0749541539,Claudia McGinley,Donegal County Council,Church Of Ireland,7,5,12
59,S N NAOMH PADRAIG,Barnacleagh,Arklow,Co. Wicklow,Wicklow,bcjohnstown@gmail.com,040239602,Caroline McCarthy,Wicklow County Council,Catholic,35,41,76
60,CENTRAL INFS SCHOOL,Marlborough Street,Dublin 1,,Dublin,info@centralmodelinfantschool.ie,018788344,Elaine Dunphy,Dublin City Council,Catholic,72,77,149
61,S N RATH MOR,Rathmore,Naas,,Kildare,office@rathmorens.ie,045862145,Caitríona Lancaster,Kildare County Council,Catholic,128,180,308
62,ST CANICE S CONVENT,Rosbercon,New Ross,Co. Wexford,Wexford,stcanicesns@gmail.com,051422813,Rachel O'Donnell,Wexford County Council,Catholic,93,93,186
63,TIPPERARY G N S,St Michael's Street,Tipperary,,Tipperary,stmichaelsgnsinfo@gmail.com,06233527,Ide Mooney,Tipperary (Sr) County Council,Catholic,149,,149
64,BALLYFORAN MIXED N S,Ballyforan,Ballinasloe,Co. Roscommon,Roscommon,ballyforanns@gmail.com,0906622300,Thomas Murray Principal,Roscommon County Council,Catholic,22,37,59
65,CASTLELYONS B N S,Castlelyons,Co. Cork,,Cork,office@castlelyonsns.com,02536220,Chonchubhair de Róiste,Cork County Council,Catholic,88,106,194
66,CROAGH NATIONAL SCHOOL,Croagh,Rathkeale,Co. Limerick,Limerick,croaghns23@gmail.com,06964750,Henry O'Gorman,Limerick County Council,Catholic,41,37,78
67,BALLINTOGHER N S,Kingsfort,Ballintogher,Co. Sligo,Sligo,sntreasa@gmail.com,0719164939,Ruth Sweeney Acting Principal,Sligo County Council,Catholic,40,47,87
68,S N BAILE UI GHIBLIN,Ballygiblin,Mitchelstown,Co. Cork,Cork,secretary@ballygiblinns.ie,02524933,David Hyland,Cork County Council,Catholic,51,54,105
69,SCOIL NAIS MOLAISE,Parknakyle,Old Leighlin,Co. Carlow,Carlow,oldleighlinns@gmail.com,0599722166,Mandy Ryan,Carlow County Council,Catholic,55,68,123
70,DUALLA N S,Dualla,Cashel,Co. Tipperary,Tipperary,duallans@gmail.com,06262241,John Manley,Tipperary (Sr) County Council,Catholic,47,45,92
71,CROWENSTOWN N S,Crowenstown,Delvin,Co. Westmeath,Westmeath,office@crowenstownns.ie,0449664585,Carmel Thorpe,Westmeath County Council,Catholic,2,10,12
72,MILLSTREET CONVENT N S,West End,Millstreet,Co. Cork,Cork,millpns@gmail.com,02970957,Siobhán Uí Bhuachalla,Cork County Council,Catholic,168,70,238
73,ST OLIVERS NS,Dundalk Street,Carlingford,Co. Louth,Louth,info@stoliversns.ie,0429373405,Caireen McPhillips,Louth County Council,Catholic,59,61,120
74,TEMPLEGLANTINE N S,Templeglantine East,Co. Limerick,,Limerick,office@templeglantinens.ie,06984300,Ann Marie Leonard,Limerick County Council,Catholic,45,31,76
75,S N NAOMH EOIN,Rath,Fivealley,Birr,Offaly,scoilnaisiuntanaomheoin@gmail.com,0579133011,Susan McDonnell,Offaly County Council,Catholic,75,73,148
76,Knockaderry Farranfore National School,Farranfore,Killarney,Co. Kerry,Kerry,info@knockaderryfarranforens.ie,0669764729,Áine Daly,Kerry County Council,Catholic,27,26,53
77,LACKAMORE N S,Lackamore,Newport,Co. Tipperary,Tipperary,lackamorens@gmail.com,061378360,Karen O'Brien,Tipperary (Nr) County Council,Catholic,18,18,36
78,S N MHUIRE,Bauroe,Feakle,Co. Clare,Clare,feaklens@gmail.com,061924116,Marion Mahon,Clare County Council,Catholic,30,38,68
79,CLOYNE NATIONAL SCHOOL,Cloyne,Co. Cork,,Cork,principal@cloynens.com,0214652567,Mary O'Brien,Cork County Council,Catholic,143,132,275
80,SAN ISADOIR,Nodstown South,Boherlahan,Cashel,Tipperary,boherlahanns@gmail.com,050441184,Catherine Cleary,Tipperary (Sr) County Council,Catholic,70,54,124
81,TALLONSTOWN N S,Tallanstown,Dundalk,Co. Louth,Louth,office@tallanstownns.ie,0429374419,Clíodhna Hyland,Louth County Council,Catholic,127,149,276
82,S N MULLACH BUI,Castletowncooley,Riverstown,Co. Louth,Louth,smcclean@mullaghbuoyns.com,0429376202,Siobhan McClean,Louth County Council,Catholic,27,35,62
83,BANTEER N S,Banteer,Co. Cork,,Cork,office@banteerns.ie,02956262,Jane Daly,Cork County Council,Catholic,85,105,190
84,S N SHEANAIN,Corgrigg,Foynes,Co. Limerick,Limerick,stsenans@yahoo.ie,06965117,Thomas Lyng,Limerick County Council,Catholic,45,54,99
85,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,Dublin,office@stmarysnssandyford.ie,012954173,Fergus Lyons,Dun Laoghaire Rathdown,Catholic,118,124,242
86,S N AN CHLAIS MHOR,Clashmore,Co. Waterford,,Waterford,clashmorens19@gmail.com,02496404,Yvonne Uí Fhlaithimhín,Waterford County Council,Catholic,41,35,76
87,S N NAOMH PADRAIG,Baconstown,Enfield,Co. Meath,Meath,baconstownns@gmail.com,0469541115,Cathal Fenton,Meath County Council,Catholic,76,72,148
88,Scoil na gCoillini,Meelick,Swinford,Co. Mayo,Mayo,meelickns1@gmail.com,0949384214,Deborah Convey,Mayo County Council,Catholic,41,56,97
89,S N SLIABH A MHADRA,Ballyduff,Tralee,Co. Kerry,Kerry,slmhadrans@gmail.com,0667131742,Cathal White,Kerry County Council,Catholic,58,49,107
90,MERCY PRIMARY SCHOOL,Chapel Lane,Birr,Co. Offaly,Offaly,principalmercyps@gmail.com,0579120259,Barbara Hanamy,Offaly County Council,Catholic,141,,141
91,NEWTOWN N S,Newtown,Ardee,Co. Meath,Meath,office@newtownnsardee.com,0469053322,Declan Crosby,Meath County Council,Catholic,20,40,60
92,S N Caiseal na gCorr,Gort a Choirce,Leitir Ceanainn,Co. Dhún na nGall,Donegal,scoilchaisealnagcorr@gmail.com,0749165129,Róisín Ní Chuireáin,Donegal County Council,Catholic,22,22,44
93,BALLYROAN B N S,Ballyroan Road,Rathfarnham,Dublin 16,Dublin,secretary@ballyroanbns.ie,014931805,Nessa Kiernan,South Dublin County Council,Catholic,,375,375
94,S N AINDREIS NAOFA,Leitrim,Kylebrack East,Loughrea,Galway,leitrimschool@gmail.com,091847470,Madonna Byrnes,Galway County Council,Catholic,52,42,94
95,SCOIL NÁISIÚNTA BHANTIARNA LOURDES,Hospital Hill,Bunclody,Enniscorthy,Wexford,secretarybunclodyns@gmail.com,0539377380,Tomás Moriarty,Wexford County Council,Catholic,137,150,287
96,S N SEAN BAILE MOR,Main Street,Shanballymore,Co. Cork,Cork,shanballymorens@gmail.com,02225611,John Walsh,Cork County Council,Catholic,26,35,61
97,WALSHESTOWN N S,Walshestown,Clogherhead,Co. Louth,Louth,office@walshestownschool.com,0416852285,Anne Marie Swinburne,Louth County Council,Catholic,44,51,95
98,TOONAGH N S,Fountain,Ennis,Co. Clare,Clare,toonaghschool@gmail.com,0656820143,Gearóid Roughan.,Clare County Council,Catholic,43,32,75
99,NAOMH PADRAIG BOYS,Cambridge Road,Ringsend,Dublin 4,Dublin,ringsendbns@gmail.com,016606825,Ian Lane,Dublin City Council,Catholic,1,136,137
100,OWENBEG N S,Owenbeg,Culleens,Co. Sligo,Sligo,owenbegns@gmail.com,09649253,Fionnuala Ruane,Sligo County Council,Catholic,18,18,36
101,MULLACH N S,Mullagh,Ennis,Co. Clare,Clare,principal@mullaghschool.ie,0657087472,Áine Sexton,Clare County Council,Catholic,20,33,53
102,S N AN CHUIL,Coole,Mullingar,Co. Westmeath,Westmeath,coolescoilmhuire@gmail.com,0449661669,Orla Oxley,Westmeath County Council,Catholic,9,5,14
103,S N NAOMH PEADAR,Pouldine,Thurles,Co. Tipperary,Tipperary,office@moycarkeyns.ie,050444439,Ann Marie Carroll,Tipperary (Nr) County Council,Catholic,72,66,138
104,BALLINDANGAN MIXED N S,Ballindangan,Mitchelstown,Co. Cork,Cork,ballindanganschool@gmail.com,02584654,Irene de Brún,Cork County Council,Catholic,20,15,35
105,LISTOWEL PRESENTATION PRIMARY,Ballybunion Road,Listowel,Co. Kerry,Kerry,office@ppslistowel.ie,06822294,Kay Murphy,Kerry County Council,Catholic,186,,186
106,CONVENT OF MERCY,Church Road,Newport,Co. Tipperary,Tipperary,newportconvent.ias@eircom.net,061378622,Miriam Foley,Tipperary (Nr) County Council,Catholic,202,64,266
107,MOYGLASS N S,Moyglass,Fethard,Co. Tipperary,Tipperary,adminmoyglassns@gmail.com,0526131885,Stephen Earley,Tipperary (Sr) County Council,Catholic,62,68,130
108,SCOIL NAIS BHRIDE,Grange,Tullow,Co. Carlow,Carlow,msmulhall@stbrigidsgrange.ie,0599163881,Leah Mulhall,Carlow County Council,Catholic,90,100,190
109,LEAMLARA MIXED N S,Leamlara,Co. Cork,,Cork,office@bishopahernns.ie,0214642430,Billy O Connor,Cork County Council,Catholic,78,58,136
110,S N CNOC AN BHILE,Knockavilla,Innishannon,Co. Cork,Cork,knockavillaschool@gmail.com,0852521422,"Mr. Rónán Collins, Principal",Cork County Council,Catholic,65,76,141
111,S N BHIORAINN,Berrings,Co. Cork,,Cork,oifig@berringsns.ie,0217332101,Joan Marie Healy,Cork County Council,Catholic,79,121,200
112,KILMESSAN MXD N S,Kilmessan,Co. Meath,,Meath,info@kilmessanns.ie,0469025532,Michelle McKeown,Meath County Council,Catholic,127,115,242
113,SCOIL NAOMH EOIN,Ballincurrig,Cork,,Cork,principal@ballincurrigns.ie,0214642222,Colm Barry,Cork County Council,Catholic,34,31,65
114,KYLE N S,Kyle,Youghal,Co. Cork,Cork,kylecns@corketb.ie,02495198,Joanna Kelly,Cork County Council,Multi Denominational,21,29,50
115,BALLYMARTIN N S,Manister,Croom,Co Limerick,Limerick,manister.ns@hotmail.com,061397220,Peter Lavin,Limerick County Council,Catholic,41,62,103
116,S N FIODHNACH,Feenagh,Kilmallock,Co. Limerick,Limerick,feenaghns@eircom.net,06385225,Diarmuid O'Connor,Limerick County Council,Catholic,43,30,73
117,S N NAITHI NAOFA,Achonry,Tubbercurry,Co. Sligo,Sligo,info@achonryns.ie,0719184395,Cora Kivlehan,Sligo County Council,Catholic,45,32,77
118,SCOIL AN LINBH IOSA,St Francis Street,Galway,,Galway,info@mercyprimary.ie,091566452,Evelyn O'Toole,Galway City Council,Catholic,133,103,236
119,SCOIL SEANAIN NAOFA,Clonlara,Co. Clare,,Clare,office@clonlarans.ie,061354299,Donnchadh Kelleher,Clare County Council,Catholic,121,155,276
120,BALLYVONGANE MIXED N S,Ballyvongane,"Aghinagh,",Coachford,Cork,ballyvonganens@gmail.com,02648188,sarah purcell,Cork County Council,Catholic,7,11,18
121,THOMASTOWN N S,Ardobireen,Thomastown,Golden,Tipperary,thomastownnationalschool@gmail.com,06272471,Marie Donovan,Tipperary (Sr) County Council,Catholic,57,55,112
122,BRACKLOON N S,Brackloon,Westport,,Mayo,office@brackloonns.ie,09821902,Brendan Tunney,Mayo County Council,Catholic,68,77,145
123,ROOSKEY N S,Rooskey,Carrick-on-Shannon,Co. Roscommon,Roscommon,rooskeyns@gmail.com,0719638774,Eimear Duignan,Roscommon County Council,Catholic,85,75,160
124,CLOONACOOL N S,Cloonacool,Tubbercurry,Co. Sligo,Sligo,pcloonacool@gmail.com,0719185709,Emily Whitehead,Sligo County Council,Catholic,46,57,103
125,SCOIL AN AINGIL CHOIMHEADAI,"An Céideadh,",Ailt An Chorráin,Leitir Ceanainn,Donegal,saac.ceideadh@gmail.com,0749542268,Anne Marie Uí Icí,Donegal County Council,Catholic,13,1,14
126,CRATLOE N S,Cratloe,Co. Clare,,Clare,cratloenationalschool@gmail.com,061357111,Susan Frawley,Clare County Council,Catholic,131,147,278
127,BALLYHASS MIXED N S,Ballyhass,Cecilstown,Co. Cork,Cork,ballyhassmixedns@gmail.com,02227937,Elizabeth Ronayne,Cork County Council,Catholic,114,109,223
128,Scoil na Croi Naofa,St Canice's Road,Ballygall,Dublin 11,Dublin,office@sacredheartballygall.ie,018379586,Niall Carty,Dublin City Council,Catholic,,404,404
129,KELLS PAROCHIAL N S,Navan Road,Kells,Co. Meath,Meath,kellsparochialns@gmail.com,0469241308,Jennifer Lynch,Meath County Council,Church Of Ireland,21,31,52
130,S N BAILE MUIRNE,Ballymurn,Enniscorthy,Co. Wexford,Wexford,office@ballymurnns.ie,0539138435,Emer O'Gorman,Wexford County Council,Catholic,50,64,114
131,S N AN LEANA MOR,Lenamore,Co. Longford,,Longford,lenamore.ns@hotmail.com,0449357867,Margo Smith,Longford County Council,Catholic,29,40,69
132,LEHINCH N S,Lissatava,Hollymount,Claremorris,Mayo,Lehinchprimary@gmail.com,0949540444,Sheila Jennings,Mayo County Council,Catholic,4,4,8
133,NEW INN B N S,New Inn,Cashel,Co. Tipperary,Tipperary,newinnbns@gmail.com,0527462336,Eilis Hennessy,Tipperary (Sr) County Council,Catholic,,48,48
134,SCOIL NAOMH CHOLMCILLE,Oileán Thoraí,Co. Dhún na nGall,,Donegal,scoilcholmcille@yahoo.ie,0858622680,Anna Uí Bhaoill,Donegal County Council,Catholic,4,14,18
135,S N MICHIL NAOFA,Woodbrook,Carrick-on-Shannon,Co. Roscommon,Roscommon,woodbrookns@gmail.com,0719621771,Anne Hand Doyle,Roscommon County Council,Catholic,14,10,24
136,COMHSCOIL CHONMHA S N,Main Street,Convoy,Co. Donegal,Donegal,convoyjoint@gmail.com,0749147493,Rachel Gallagher (Acting),Donegal County Council,Church Of Ireland,54,46,100
137,O CALLAGHANS MILLS N S,Iragh,O'Callaghan's Mills,Co. Clare,Clare,ocallaghansmillsns@gmail.com,0656835730,Sharon Brady,Clare County Council,Catholic,13,16,29
138,Tahilla Community National School,Tahilla,Sneem,Co. Kerry,Kerry,info@tahillacns.ie,0646645561,Máire de Cógáin Principal,Kerry County Council,Multi Denominational,13,16,29
139,LARAGH N S,Laragh,Bandon,Co Cork,Cork,laraghns@gmail.com,0238843313,John Lordan,Cork County Council,Catholic,95,79,174
140,SCOIL NAOIMH EANNA,Killanny,Carrickmacross,Co. Monaghan,Monaghan,killannyns@gmail.com,0429662175,Emer Quinn,Monaghan County Council,Catholic,89,114,203
141,ST COLUMBAS N.S,With Facility for Deaf Children,Douglas West,Co. Cork,Cork,office@stcolumbasgns.ie,0214893947,Louise Roche,Cork City Council,Catholic,359,18,377
142,CASTLEPOLLARD MIXED N S,Water Street,Castlepollard,Co. Westmeath,Westmeath,cpns3h@gmail.com,0449661865,Sean Beirne,Westmeath County Council,Catholic,78,91,169
143,SN BAILE MHIC AIRT,S.N. Bhaile Mhic Airt,Dún Garbhán,Co. Phort Láirge,Waterford,anseanphobal.ias@gmail.com,05846446,Deirdre Ní Fhlaithmhin,Waterford County Council,Catholic,34,24,58
144,TRAFRASK MIXED N S,Trafrask,Adrigole (Beara),,Cork,trafraskns@gmail.com,02760201,Louisa O Donoghue,Cork County Council,Catholic,11,6,17
145,CLOCHAR SAN DOMINIC,Convent Road,Dun Laoghaire,Co. Dublin,Dublin,mail@dominicandunlaoghaire.ie,012809011,Peter Mooney,Dun Laoghaire Rathdown,Catholic,92,92,184
146,BAILIEBORO MODEL N S,Bailieborough,Co. Cavan,,Cavan,Office@themodelschool.ie,0429665689,Myrtle Griffith,Cavan County Council,Church Of Ireland,47,36,83
147,Scoil Mhichil na Buachailli,Patrick Street,Trim,Co. Meath,Meath,scoilmhichil@gmail.com,0469431813,Brid Gorry,Meath County Council,Catholic,7,287,294
148,DUNMANWAY MODEL N S,Bantry Road,Dunmanway,Co. Cork,Cork,anmhodhscoil@gmail.com,0238845034,Fiona Buckley,Cork County Council,Church Of Ireland,44,51,95
149,S N AN GHOILIN,Goleen,Co. Cork,,Cork,mgoleenns@gmail.com,02835660,Catherine Collins,Cork County Council,Catholic,19,13,32
150,S N CREACHMHAOIL,Crinnage,Craughwell,Co. Galway,Galway,office@craughwellns.ie,091846246,Claire Urquhart,Galway County Council,Catholic,156,162,318
151,BURRISCARRA N S,Carnacon,Ballyglass,Claremorris,Mayo,office@carnaconns.ie,0949360184,Helena Hastings,Mayo County Council,Catholic,14,9,23
152,St. Anne's National School,Main Street,Tyrellspass,Co. Westmeath,Westmeath,info@stannestyrrellspass.com,0449223298,Fiona McKeown,Westmeath County Council,Catholic,82,94,176
153,CHURCH HILL MIXED N S,Church Hill,Cuffesgrange,Co. Kilkenny,Kilkenny,churchhillns1828@gmail.com,0567729144,Mark Bergin,Kilkenny County Council,Catholic,94,98,192
154,PRESENTATION PRIMARY SCHOOL,George's Hill,Halston Street,Dublin 7,Dublin,secretary@georgeshillschool.ie,018733061,Lorraine Hession,Dublin City Council,Catholic,96,69,165
155,SCOIL URSULA,Blackrock Road,Blackrock,,Cork,sublackrock@gmail.com,0214358476,Liz Cronin,Cork City Council,Catholic,98,84,182
156,SCOIL BARR DUBH,Barraduff,Headford,Co. Kerry,Kerry,barraduff.ias@gmail.com,0647754478,Claire O'Halloran,Kerry County Council,Catholic,44,51,95
157,ROCKCORRY N S,Rockcorry,Co. Monaghan,,Monaghan,rockcorryns@gmail.com,0429742554,Julie Coalter,Monaghan County Council,Church Of Ireland,13,21,34
158,S N CILL CUILE,Kilcooley,Loughrea,Co. Galway,Galway,kilcooleyns@gmail.com,091843292,Sinead Duffy,Galway County Council,Catholic,52,57,109
159,S N CILL RONAIN,Keadue West,Boyle,Co. Roscommon,Roscommon,scoilcillronain@gmail.com,0719647503,Marie Jinks,Roscommon County Council,Catholic,13,24,37
160,DOOHAMLET N S,Doohamlet,Castleblayney,Co. Monaghan,Monaghan,office@doohamletns.com,0429741498,Fiona Gallagher,Monaghan County Council,Catholic,53,81,134
