Sr No,School Name,School Number,School Directer,Address,City,Province,Code postal,Phone Number,Fax Number,Region,School Email,Website
56,Advanced Knowledge Academy,667410,Junhyung Park,92 Croteau Crescent,Thornhill,Ontario,L4J5S4,416-399-8003,,Région Centrale,info@advancedknowledgeacademy.com,www.advancedknowledgeacademy.com
57,Adventist Christian Elementary School,665717,Kimberley Chute,805 SHELBORNE ST,London,Ontario,N5Z5C6,519-601-2277,519-453-9419,Région de l’Ouest,PRINCIPAL@ACESLONDON.CA,www.aceslondon.ca
58,Afzal Islamic Montessori & Academy,667455,Mohammed Ansari,188 Shorting Road,Scarborough,Ontario,M1S3S7,416-286-0110,,Région de l’Est,afzalacademy@gmail.com,www.afzalacademy.ca
59,Agate Private School,875546,Gayle Hanlon,43 Chaplin Ave,St. Catharines,Ontario,L2R2E4,289-968-9781,,Région de l’Ouest,info@learnfree.ca,www.learnfree.ca
60,Agile Preparatory Academy,883112,Yue Dong,52 Church Street,Toronto,Ontario,M5C2B5,416-936-8787,,Région Centrale,info@agileprep.ca,www.agileprep.ca
61,Agincourt International Academy,883230,Samy Appadurai,"80 Nashdene Ave, Building F",Scarborough,Ontario,M1V5E4,416-701-1763,416-701-9542,Région de l’Est,guidance@aia.school,aia.school
62,Agincourt Montessori School Inc,878456,Kiera Thompson,2575 Midland Ave,Toronto,Ontario,M1S1R3,416-291-0726,,Région de l’Est,agincourtmontessori@gmail.com,www.agincourtmontessori.com
63,Aglace Chapman Education Centre,663689,"Helen Garvin, Jason Robinson",,Big Trout Lake,Ontario,P0V1G0,807-537-2264,807-537-1067,Région du Nord,,
64,Agora Prep Academy,665293,Sylvia Martignani,126 Wellington St. W,Aurora,Ontario,L4G2N9,888-524-6725,,Région Centrale,info@agoraprep.com,www.agoraprep.com
65,Ahlul Bayt Islamic School,665991,Fatima Assaf,3025 Albion Rd North RD,Ottawa,Ontario,K1V9V9,613-526-0774,613-526-1941,Région de l’Est,info@abischool.com,www.abischool.com
66,Ahmadiyya Elementary School,883477,Reema Malik,1194 Matheson Blvd East,Mississauga,Ontario,L4W1R2,416-477-2226,905-832-3220,Région Centrale,admin@ahmadiyyaschool.ca,
67,Ahmadiyya Muslim Elementary School (AMES) Barrie,669605,Muhammad Sethi,4th Line,Cookstown,Ontario,L0L1L0,647-784-4960,,Région Centrale,admin_amesb@ahmadiyyaschool.ca,https://barrie.ahmadiyyaschool.ca/
68,Aishah Siddiqah Academy,665328,Jeenat Ara,1480 Janette Ave,Windsor,Ontario,N8X1Z4,437-781-5771,,Région de l’Ouest,asacademy@iaw-ca.com,http://iaw-ca.com/education/for-sisters/asa-academic-school/
69,Al Azhar Islamic School,877760,Yussria Rahman,100 McLevin Ave,Scarborough,Ontario,M1B5K1,416-321-9636,416-321-2426,Région de l’Est,alazharins@gmail.com,
70,Al Furqan School,881297,Heba Rushdan,2825 DuMaurier Avenue,Ottawa,Ontario,K2B7W3,613-680-7261,613-820-1495,Région de l’Est,admin.ft@alfurqan.ca,www.alfurqan.ca
71,Al Haadi (9828770 Canada Institute),883124,Sayyid Ali Imran,690 Progress Avenue,Scarborough,Ontario,M1H3A6,416-628-6252,,Région de l’Est,info@alhaadi.ca,www.alhaadi.ca
72,Al Haadi Academy,666537,Majida Saab,120 Bermondsey Rd,Toronto,Ontario,M4A1X5,416-562-4950,,Région de Toronto,majidashouaib@gmail.com,alhaadiacademy.ca
73,Al Huda Elementary School,669831,Imran Haq,"1135 Central Parkway, West",Mississauga,Ontario,L5C3J2,905-270-2437,,Région Centrale,info@alhudaelementary.ca,alhudaelementary.ca
74,Al Khayr Academy,667635,Fayaz Ahmed,270 Windsor St,Thunder Bay,Ontario,P7B1V6,866-298-2672,,Région de Toronto,alkhayracademy@tbmsb.ca,www.tbmsb.ca
75,Al Salam Islamic School,885404,Soheila Sharifi,160 Salvation Rd,Brampton,Ontario,L7A0W7,416-894-3037,,Région Centrale,masjidalsalamschool@gmail.com,
76,Al-Ameen Elementary School,884792,Mohammed Ilyas,389 Main Street North,Brampton,Ontario,L6X3P1,905-866-6555,905-866-6550,Région Centrale,ilyas@al-ameenschool.com,www.al-ameenschool.com
77,Al-Azhar Academy of Canada,887920,Al-Saeed Mohammad,2074 Kipling Ave,Etobicoke,Ontario,M9W4J4,416-741-3420,416-741-5143,Région Centrale,academy.azhar@gmail.com,www.alazhar.ca
78,Al-Falah Islamic,878472,Wajiha Jamali,391 Burnhamthorpe Rd E,Oakville,Ontario,L6H7B4,905-257-5782,,Région Centrale,office@al-falah.org,www.alfalahschool.ca
79,Al-Hidayah Academy,667583,Shua Amari,65 Rexdale Blvd,Toronto,Ontario,M9W1P1,416-745-3871,416-745-6722,Région Centrale,amaari55@hotmail.com,www.alhidayah.ca
80,Al-Hijra,878090,Waheeda Khan,5100 Howard Ave,Old Castle,Ontario,N9H0M3,519-966-8276,519-966-0846,Région de l’Ouest,principal@alhijraacademy.com,www.alhijraacademy.com
81,Al-Ikhlaas Foundation School,886011,Asha Mohamed,2050 KIPLING AVE,Etobicoke,Ontario,M9W4J9,647-829-9631,,Région Centrale,alikhlaasfoundationschool@hotmail.com,
82,Al-Iman School,876585,Syyed Ali,12 Beech Street,Brampton,Ontario,L6V1V1,905-799-9231,,Région Centrale,islamicprivate1@gmail.com,www.alimanschool.ca
83,Al-Madrasah Al-Inamiyyah Private School,876003,Abdul Khan,3665 Lawrence Avenue East,Scarborough,Ontario,M1G1P7,416-298-4008,905-686-4428,Région de l’Est,mariyahschool@yahoo.com,
84,Al-Mahdi Learning Institute,669809,Zeinab Saleh,8333 Willoughby Drive,Niagara Falls,Ontario,L2G6X4,905-325-1400,,Région de l’Ouest,info@almahdilearninginstitute.ca,info@almahdilearninginstitute.ca
85,Al-Qasim Academy,667350,Abrar Ahmed Koya,3482 Lawrence Ave East,Scarborough,Ontario,M1H3E5,416-431-2589,416-431-0904,Région de l’Est,jquloomcomp@gmail.com,jquloom.ca
86,Al-Risala Academy,665670,NADIM ALWAN,1224 Dundas Street E,MISSISSAUGA,Ontario,L4Y4A2,905-232-8436,905-248-1155,Région Centrale,info@alrisalaacademy.com,http://www.alrisalaacademy.com
87,Al-Sadeq Academy,669858,Nadia Jomaa-Khachab,1485 Janette Avenue,Windsor,Ontario,N8X1Z2,519-256-7171,,Région de l’Ouest,alsadeqacademy@gmail.com,www.alsadeqacademy.com
88,Al-Taqwa Academy,665037,Sally Kaloti,1837 Churchill Ave.,London,Ontario,N5W2L3,519-951-1414,519-601-5566,Région de l’Ouest,ischool@altaqwa.org,www.altaqwa.org
89,Alathena International Academy,669761,Simon Huynh,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-756-3338,416-756-3328,Région de l’Est,smnhuynh@gmail.com,www.alathena.com
90,Alathena International Academy - North Y,881704,Simon Huynh,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-390-9666,416-390-9666,Région de l’Est,info@alathenaschool.com,www.alathenaschool.com
91,Alathena International Elementary School,883648,Simon Huynh,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-385-8886,,Région de l’Est,info@alathenaschool.com,www.alathenaschool.com
92,Albert College,885126,Mark Musca,160 Dundas St W,Belleville,Ontario,K8P1A6,613-968-5726,613-968-9651,Région de l’Est,info@albertcollege.ca,www.albertcollege.ca
93,Alborz Education Centre,666998,Zahra Hemmati,20 Tangreen Crt.,Toronto,Ontario,M2M3Y9,416-221-1443,647-342-0375,Région Centrale,info@alborzschool.com,www.alborzschool.com
94,Alfajrul Bassem Academy,669480,Dania Wattar,700 Kerr St,Oakville,Ontario,L6K3W5,905-514-9995,905-296-5685,Région Centrale,info@alfajrulbassem.com,alfajrulbassem.com
95,Alhidayah School,665793,Lina Alshelh,2250 Sheppard Ave W,North York,Ontario,M9M1L7,647-554-3215,,Région de Toronto,info@alhidayah.ca,
96,Alive Montessori & Private School,883467,Julia Simon,2 Wembley Road,Toronto,Ontario,M6C2E9,647-990-7323,,Région de Toronto,aliveprivateschool@gmail.com,aliveprivateschool.ca
97,Alliston Community Christian School,881724,David Geertsema,4428 Adjala-Tecumseth Townline,Alliston,Ontario,L9R1V4,705-434-2227,705-435-0126,Région Centrale,info@allistonccs.com,www.allistonccs.com
98,Alpha Quality Education Inc,882302,Marta kouchaki,6120 A Yonge St,North York,Ontario,M2M3W7,416-661-4446,866-724-9709,Région Centrale,info@alphahighschools.com,www.alphahighschools.com
99,Alpha Star High School,668857,Azin Seyedghandi,10670 Yonge Street,Richmond Hill,Ontario,L4C3C9,905-237-8177,905-237-0518,Région Centrale,azin.ghandi@alphahighschools.com,www.alphahighschools.com
100,Amairah Private School (APS),882017,AMAN SINGLA,1625 Albion Road,Etobicoke,Ontario,M9V5H8,866-262-4724,416-907-1699,Région Centrale,info@apseducation.com,www.apseducation.com
101,Amanah Academy North America Foundation,882652,Wali Kazi,4140 Finch Ave E,Scarborough,Ontario,M1S3T9,416-750-3939,,Région de l’Est,admin@amanahacademy.com,www.amanahacademy.ca
102,Amani Private School,884996,Fareen Khimji,36 Broadlands Blvd.,North York,Ontario,M3A1J3,,,Région de Toronto,admin@amanischool.ca,www.amanischool.ca
103,Ambassadors Christian School,669258,Caroline Vangrootheest,2031 Stittsville Main St,Stittsville,Ontario,K2S1B8,343-887-9449,,Région de l’Est,admin@ambassadorschristianschool.ca,www.ambassadorschristianschool.ca
104,Amberson College High School,667063,Dirk Xu,7100 Birchmount Road,Markham,Ontario,L3R4H2,416-495-0888,416-495-0809,Région de l’Est,dirk@ambersoncollege.ca,www.ambersoncollege.ca
105,Amberson High School,884298,Desiree Dong,7100 Birchmount Road,Markham,Ontario,L3R4H2,905-889-0688,,Région Centrale,info@ambersoncollege.ca,www.ambersoncollege.ca
106,Amberwood Academy,882140,Sophia Li,201 Consumers Rd,North York,Ontario,M2J4G8,416-306-2066,,Région de Toronto,info@amberwoodcollege.com,amberwoodcollege.com
107,American Islamic High School,885709,Ahmed Geddy,2020 Winston Park Drive,Oakville,Ontario,L6H6X7,289-207-5733,,Région Centrale,admin@canadianislamicschool.com,
108,American Islamic School,667049,Ahmed Geddy,2010 Winston Park Drive,Oakville,Ontario,L6H5R7,647-724-8064,,Région Centrale,admin@americanislamic.school,www.americanislamic.school
109,Amish Parochial School #1,887447,Wendy Kuepfer,2740 Chalmers-Forrest Road 1,Millbank,Ontario,N0K1L0,,,Région de l’Ouest,,
110,Amish Parochial School #2,887846,Leona Kuepfer,4036 Line 76 1,Newton,Ontario,N0K1R0,,,Région de l’Ouest,,
111,Amish Parochial School #3,887854,Katrina Albrecht,4286 Line 67 1,Milverton,Ontario,N0K1M0,,,Région de l’Ouest,,
112,Amish Parochial School #4,887706,Janessa Wagler,4852 Line 72 2,Milverton,Ontario,N0K1M0,519-597-2789,,Région de l’Ouest,,
113,Amish Parochial School #5,889687,Rosanna Kuepfer,6327 Road 116 1,Milverton,Ontario,N0K1M0,,,Région de l’Ouest,,
114,Amish Parochial School #6,882631,Christina Ebersol,5124 B Line 62 2,Milverton,Ontario,N0K1M0,,,Région de l’Ouest,,
115,Amish Parochial School #7,876364,Sarah Davidson,129 Perth Road,Newton,Ontario,N0K1R0,,,Région de l’Ouest,,
116,Amish Parochial school #8,665285,Carlene Albrecht,7023 Road 136 1,Newton,Ontario,N0K1R0,,,Région de l’Ouest,,
117,An-Noor Private School,877115,Amney Behiry,5791 N Townline Ave,Amherstburg,Ontario,N9V2Y9,519-966-4422,519-966-5233,Région de l’Ouest,office@annoorschool.com,
118,Ancaster Forest and Nature School,669786,Dustin Hubert,437 Wilson Street,Ancaster,Ontario,L9G3E1,905-906-1351,,Région de l’Ouest,dustin@afns.ca,
119,Anchor Christian Academy,882968,Sharmane Horst,74 Parkview Drive,Stratford,Ontario,N5A4R6,519-508-5051,,Région de l’Ouest,acastratford@gmail.com,
120,Apex Academy,885063,Ian Hughes,410 Adelaide Street West,Toronto,Ontario,M5V1S8,866-428-0666,,Région de Toronto,principal@apexacademyonline.com,www.apexacademyonline.com
121,Apollo High School,668639,Timothy Kim,80 Sheppard Avenue West,Toronto,Ontario,M2N1M2,416-229-1999,,Région Centrale,info@apollohighschool.ca,www.apollohighschool.ca
122,Appleby College,885924,Innes van Nostrand,540 Lakeshore Rd W,Oakville,Ontario,L6K3P1,905-845-4681,905-845-9335,Région Centrale,tbreukelman@appleby.on.ca,http://www.appleby.on.ca
123,Ar Rashaad Academy,888701,Sazia Atcha,18 Automatic road,Brampton,Ontario,L6S5N5,905-595-1137,,Région Centrale,school@arrashaad.com,www.arrashaad.com
124,Ariss Valley Parochial School,884122,Lucille Brubacher,5986 Eighth Line,Ariss,Ontario,N0B1B0,,,Région de l’Ouest,,
125,Arkana Education,665719,Shahin Esmaeiliazad,900 York Mills Road,North York,Ontario,M3B3H2,416-222-4461,,Région Centrale,info@arkanaeducation.ca,www.arkanaeducation.org
126,Arkana Education Sudbury,889722,Shahin Esmaeiliazad,"Level 2, 124 Cedar Street",Sudbury,Ontario,P3E3L6,416-897-4461,,Région du Nord,info@arkanaeducation.ca,
127,Arrowsmith School,880779,Shelley Woon,245 St Clair Ave W,Toronto,Ontario,M4V1R3,416-963-4962,416-963-5017,Région de Toronto,reception@arrowsmithschool.org,http://www.arrowsmithschool.org
128,Arthur Christian School,665378,Keith Brubacher,161 Eliza Street,Arthur,Ontario,N0G1A0,519-848-2218,519-848-9830,Région de l’Ouest,arthurchristianschool@gmail.com,
129,As-Sadiq Islamic,876798,Mario Boccia,9000 Bathurst St,Thornhill,Ontario,L4J8A7,905-695-1588,905-695-1590,Région Centrale,Tlakha@as-sadiqschool.com,http://www.as-sadiqschool.com
130,Ashbury College,886297,Norman Southward,362 Mariposa Ave,Ottawa,Ontario,K1M0T3,613-749-5954,613-749-9724,Région de l’Est,norman.southward@ashbury.ca,http://www.ashbury.ca
131,Ashwood Glen,884822,Mai Mossad,3430 Fairview Street,Burlington,Ontario,L7N2R5,905-320-1272,,Région de l’Ouest,office@ashwoodglen.com,www.ashwoodglen.com
132,Ashwood International Collegiate,667900,Rashida Suleman,1893 baseline road,ottawa,Ontario,K2C0C7,905-691-7608,,Région de l’Est,info@ashwoodinternationalcollegiate.ca,
133,Aspiration Academy,881729,Rachel Lam,327 Renfrew Drive,Markham,Ontario,L3R9S8,905-752-0988,,Région Centrale,rlam@aspirationanddiscoveries.com,www.aspirationanddiscoveries.com
134,Aspire Academy,885039,Jamie GALLANT,"2013 Old Carp Road, Carp",Carp,Ontario,K0A1L0,613-858-9129,,Région de l’Est,academy@insideaspire.com,www.insideaspireacademy.com
135,Associated Hebrew Schools of Toronto,887315,Lee-Ron Kaye,18 Neptune Drive,Toronto,Ontario,M6A1X1,416-787-1872,416-787-6155,Région Centrale,oshulman@ahschools.com,https://associatedhebrewschools.com/
136,Associated Hebrew Schools of Toronto,889156,Peter Rewega,252 Finch Ave W,Toronto,Ontario,M2R1M9,416-494-7666,416-494-3477,Région Centrale,lkaye@ahschools.com,www.associatedhebrewschools.com
137,Astolot Education Centre,666610,Andrew Stewart,2211 Thurston Drive,Ottawa,Ontario,K1G6C9,613-260-5996,,Région de l’Est,jennifercowan@astolot.com,http://www.astolot.com/
138,Astrum Academy,668383,Vahe Drnoyan,10201 Yonge Street,Richmond Hill,Ontario,L4C3B2,416-301-4635,,Région Centrale,schooladmin@astrum-academy.com,astrum-academy.com
139,Asynchronous Academy,665288,Gregory Senyshyn,404 St. Albert St.,Kincardine,Ontario,N2Z2V2,613-212-5989,,Région de l’Ouest,contact@asyncacademy.ca,https://asyncacademy.ca
140,At Last Forest School - Lindsay,665699,Laurie Hannon,277 Kenrie Rd,Lindsay,Ontario,K9V4R2,519-379-6383,,Région de l’Est,alfslindsay@gmail.com,www.atlastforestschools.com
141,At Last Forest School - Owen Sound,669486,Katie Miller,72 2nd Avenue East,Owen Sound,Ontario,N4K5T2,519-373-6951,,Région de l’Ouest,osforestschool@gmai.com,www.atlastforestschools.com
142,At Last Forest School - Port Elgin,665230,Christine Brown,1593 Bruce Road 33,Saugeen Shores,Ontario,N0H2C0,519-379-6383,,Région de l’Ouest,osforestschool@gmail.com,www.atlastforestschools.com
143,At Last Forest School - Stevensville,668915,Christine Brown,2555 Ott Rd,Stevensville,Ontario,L0S1S0,519-379-6383,,Région de l’Ouest,atlastforestschools@gmail.com,www.atlastforestschools.com
144,At Last Forest School Kincardine,667562,Christine Brown,512-550 Bruce Avenue,Ripley,Ontario,N0G2R0,519-379-6383,,Région de l’Ouest,kforestschool@gmail.com,www.atlastforestschools.com
145,At Last Forest School- Farm School,667474,Tracy Fidler,241063 Concession 3 Kemble 3,kemble,Ontario,N0H1A0,519-379-6383,,Région de l’Ouest,ffforestschool@gmail.com,www.atlastforestschools.com
146,At Last Forest Schools - Galbriath,669748,Mary-Frances Lambert-Hill,7407 Road 140,Newton,Ontario,N4W3G9,519-379-6383,,Région de l’Ouest,galbraithforestschool@gmail.com,www.atlastforestschools.com
147,At Last Forest Schools - Huntsville,883525,Kelly Kay,451 Arrowhead Park Rd,Huntsville,Ontario,P1H2J4,519-379-6383,,Région Centrale,alfshuntsville@gmail.com,www.atlastforestschools.com
148,Athens Christian Academy Ltd,668386,Jennifer Feenstra,15 Church Street,Athens,Ontario,K0E1B0,613-924-0002,,Région de l’Est,AthensChristianAcademy@hotmail.com,
