Sr No,SchoolName,SchoolType,SchoolURL,States,Email,Numbers,SchoolSector
31,Al Hikma College,Prim,http://alhikma.nsw.edu.au/,NSW,admin@alhikma.nsw.edu.au,(02) 9703 3017,NG
32,Al Iman College,Pri/Sec,https://aliman.vic.edu.au/,VIC,info@aliman.vic.edu.au,,NG
33,Al Siraat College,Pri/Sec,http://www.alsiraat.vic.edu.au,VIC,info@alsiraat.vic.edu.au,,NG
34,Al Zahra College,Pri/Sec,http://www.azc.nsw.edu.au,NSW,info@azc.nsw.edu.au,,NG
35,Alamanda K-9 College,Pri/Sec,http://www.alamandacollege.vic.edu.au/,VIC,alamanda.k9@education.vic.gov.au,(03) 8376 5200,Gov
36,Alawa Primary School,Prim,http://www.alawaprimary.nt.edu.au,NT,alawa.school@education.nt.gov.au,"0447 326 186, 08 8997 7666",Gov
37,Albanvale Primary School,Prim,http://www.albanvaleps.vic.edu.au/,VIC,albanvale.ps@education.vic.gov.au,03 9367 2197,Gov
38,Albany Primary School,Prim,http://albanyprimary.wa.edu.au/,WA,albany.ps@education.wa.edu.au,(08) 9844 2860,Gov
39,Albert Park Primary School,Prim,http://www.albertparkps.vic.edu.au,VIC,albert.park.ps@education.vic.gov.au,396999090,Gov
40,Albert Park Public School,Prim,https://albertpk-p.schools.nsw.gov.au,NSW,albertpk-p.school@det.nsw.edu.au,02 6621 3259,Gov
41,Alberton Primary School,Prim,http://www.albertonps.sa.edu.au,SA,dl.0202.info@schools.sa.edu.au,(08) 8447 1924,Gov
42,Alberton Primary School,Prim,http://www.albertonps.vic.edu.au,VIC,alberton.ps@education.vic.gov.au,03 5183 2412,Gov
43,Albion North Primary School,Prim,http://www.albionnorthps.vic.edu.au,VIC,"albionnorth@theircare.com.au, albion.north.ps@education.vic.gov.au","0418 100 818, (03) 9312 5900",Gov
44,Albion Park Rail Public School,Prim,https://albionpkr-p.schools.nsw.gov.au,NSW,albionpkr-p.school@det.nsw.edu.au,02 4256 1287,Gov
45,Albuera Street Primary School,Prim,https://albuerastreetprimary.education.tas.edu.au/,TAS,albuera.street.primary@decyp.tas.gov.au,03 6223 2268,Gov
46,Albury Public School,Prim,https://albury-p.schools.nsw.gov.au,NSW,albury-p.school@det.nsw.edu.au,02 6021 3849,Gov
47,Alcoota School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/alcoota-school,NT,teach.det@education.nt.gov.au,1800 646 391,Gov
48,Aldavilla Public School,Prim,https://aldavilla-p.schools.nsw.gov.au,NSW,aldavilla-p.school@det.nsw.edu.au,02 6563 1141,Gov
49,Aldercourt Primary School,Prim,http://www.aldercourtps.vic.edu.au/,VIC,aldercourt.ps@education.vic.gov.au,,Gov
50,Aldgate Primary School,Prim,http://www.aldgateps.sa.edu.au/,SA,dl.0210.info@schools.sa.edu.au,08 8339 2377,Gov
51,Aldinga Payinthi College,Pri/Sec,https://aldingapayinthicollege.sa.edu.au,SA,dl.1914.info@schools.sa.edu.au,(08) 7505 6100,Gov
52,Alekarenge School,Pri/Sec,http://www.nationwide.com.au/alekarengeschool/,NT,admin.alekacec@ntschools.net,"08 8964 1957, 08 8964 1969",Gov
53,Alexandra Primary School,Prim,http://www.alexandraps.vic.edu.au,VIC,alexandra.ps@education.vic.gov.au,(03) 5772 1006,Gov
54,Alexandra Secondary College,Sec,http://www.asc.vic.edu.au,VIC,alexandra.sc@education.vic.gov.au,"(03) 5770 2021, (03) 5770 2000",Gov
55,Al-Faisal College,Pri/Sec,http://www.afc.nsw.edu.au,NSW,"lakemba@afc.nsw.edu.au, liverpool@afc.nsw.edu.au, alfaisalcollege@afc.nsw.edu.au, campbelltown@afc.nsw.edu.au","32 082 621 092, 1800 000 149",NG
56,Al-Faisal College - Campbelltown,Pri/Sec,http://www.afc.nsw.edu.au/,NSW,"lakemba@afc.nsw.edu.au, liverpool@afc.nsw.edu.au, alfaisalcollege@afc.nsw.edu.au, campbelltown@afc.nsw.edu.au","32 082 621 092, 1800 000 149",NG
57,Al-Faisal College - Liverpool,Pri/Sec,http://www.alfaisalcollege.com/,NSW,alfaisalcollege@afc.nsw.edu.au,,NG
58,Alfords Point Public School,Prim,https://alfordspt-p.schools.nsw.gov.au,NSW,alfordspt-p.school@det.nsw.edu.au,02 9543 0185,Gov
59,Alfredton Primary School,Prim,http://www.alfredtonps.vic.edu.au/,VIC,alfredton.ps@education.vic.gov.au,(03) 5334 1572,Gov
60,Al-Hidayah Islamic School,Prim,http://www.islamicschool.com.au,WA,info@islamicschool.com.au,"08 9351 8593, 72 481 406 449",NG
61,Alia College,Sec,http://www.alia.vic.edu.au,VIC,"info@alia.vic.edu.au, enrolments@alia.vic.edu.au","(03) 9822 9622, 38 087 134 450",NG
62,Alice Springs School Of The Air,Pri/Sec,http://www.assoa.nt.edu.au/,NT,assoa@assoa.nt.edu.au,(08) 8951 6800,Gov
63,Alinjarra Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5693,WA,Alinjarra.PS@education.wa.edu.au,,Gov
64,Alkimos College,Sec,http://www.alkimoscollege.wa.edu.au,WA,"Alkimos.col@education.wa.edu.au, paris.noble@education.wa.edu.au",(08) 9561 7300,Gov
65,Alkira Secondary College,Sec,http://www.alkirasecondarycollege.com.au,VIC,alkira.sc@education.vic.gov.au,"03 5991 3500, 25 325 980 922",Gov
66,All Hallows Catholic Primary School,Prim,https://ahpsfivedock.syd.catholic.edu.au,NSW,"admin@allhallows.org.au, info@ahpsfivedock.catholic.edu.au","046 (02) 9713 4469, (02) 9713 7960, (02) 9713 4469",NG
67,All Hallows Catholic Primary School Gulgong,Prim,https://www.allhallowsgulgong.catholic.edu.au/,NSW,b.toole2@bth.catholic.edu.au,02 6374 1582,NG
68,All Hallows' School,Pri/Sec,http://www.ahs.qld.edu.au,QLD,admin@ahs.qld.edu.au,(07) 3831 3100,NG
69,All Saints Anglican School,Pri/Sec,http://www.asas.qld.edu.au,QLD,enquiries@asas.qld.edu.au,07 5530 2855,NG
70,All Saints Anglican School,Pri/Sec,http://allsaints.vic.edu.au,VIC,info@allsaints.vic.edu.au,(03) 5825 0000,NG
71,All Saints Catholic College,Pri/Sec,https://ascc.syd.catholic.edu.au,NSW,"info@ascc.catholic.edu.au, secretary@allsaintsparishliverpool.org.au","170 (02) 9602 4555, (02) 9602 8466, (02) 9602 4555",NG
72,All Saints College,Sec,http://www.maitlandasc.catholic.edu.au/,NSW,admin@maitlandasc.catholic.edu.au,(02) 4933 6933,NG
73,All Saints College (St Peter's),Sec,http://www.maitlandasc.catholic.edu.au,NSW,admin@maitlandasc.catholic.edu.au,(02) 4933 6933,NG
74,All Saints' College,Pri/Sec,http://www.allsaints.wa.edu.au,WA,info@allsaints.wa.edu.au,(08) 9313 9333,NG
75,All Saints Grammar,Sec,http://www.allsaints.nsw.edu.au,NSW,"enrolments@allsaints.nsw.edu.au, admin@allsaints.nsw.edu.au","02 9704 6433, 02 9704 6400",NG
76,All Saints Grammar Junior School,Prim,http://www.allsaints.nsw.edu.au,NSW,"enrolments@allsaints.nsw.edu.au, admin@allsaints.nsw.edu.au","02 9704 6433, 02 9704 6400",NG
77,All Saints Parish School,Prim,http://www.asportland.catholic.edu.au,VIC,admin@asportland.catholic.edu.au,(03) 5523 3654,NG
78,Allambie Heights Public School,Prim,https://allambieht-p.schools.nsw.gov.au,NSW,allambieht-p.school@det.nsw.edu.au,02 9451 5440,Gov
79,Allansford and District Primary School,Prim,http://www.allansford-ps.vic.edu.au,VIC,allansford.ps@education.vic.gov.au,355651382,Gov
80,Allenby Gardens Primary School,Prim,http://www.allenbyps.sa.edu.au,SA,dl.0473.webmasters@schools.sa.edu.au,,Gov
81,Allendale East Area School,Pri/Sec,http://www.alleastas.sa.edu.au/,SA,dl.0751.info@schools.sa.edu.au,,Gov
82,Allendale Primary School,Prim,http://allendaleps.wa.edu.au,WA,"Allendale.PS@education.wa.edu.au, allendale.ps@education.wa.edu.au","08 9923 6600, 08 9921 4218",Gov
83,Alpha Omega Senior College,Sec,http://www.aosc.nsw.edu.au/,NSW,theregistrar@aosc.nsw.edu.au,(02) 9199 3900,NG
84,Alphington Grammar School,Pri/Sec,http://www.alphington.vic.edu.au,VIC,info@ags.vic.edu.au,03 9497 4777,NG
85,Alpurrurulam School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/alpurrurulam-school,NT,teach.det@education.nt.gov.au,1800 646 391,Gov
86,Alstonville High School,Sec,https://alstonvill-h.schools.nsw.gov.au,NSW,"alstonvill-h.school@det.nsw.edu.au, alstonvillehs.pc@gmail.com",02 6628 5222,Gov
87,Alta-1 College,Sec,http://www.alta-1.qld.edu.au/about-us,QLD,Metroadmin@alta-1.wa.edu.au,,NG
88,Alta-1 College - Joondalup Campus,Special,http://www.alta-1.wa.edu.au,WA,"admin@alta-1.qld.edu.au, admin@alta-1.wa.edu.au, greatsouthern-admin@alta-1.wa.edu.au, kununurra-admin@alta-1.wa.edu.au","510 (07) 5301 8008, 743 (08) 9166 9009, 330 (08) 9403 8233, 919 (08) 9403 8200",NG
89,Alta-1 Kimberley College,Special,https://www.alta-1.com.au,WA,"admin@alta-1.qld.edu.au, admin@alta-1.wa.edu.au, greatsouthern-admin@alta-1.wa.edu.au, kununurra-admin@alta-1.wa.edu.au","510 (07) 5301 8008, 743 (08) 9166 9009, 330 (08) 9403 8233, 919 (08) 9403 8200",NG
90,Altona College,Pri/Sec,http://www.altonacollege.vic.edu.au,VIC,altona.co@education.vic.gov.au,392508050,Gov
91,Altona Green Primary School,Prim,http://www.altonagreen.vic.edu.au/,VIC,altona.green.ps@education.vic.gov.au,028 03 9360 0777,Gov
92,Altona Meadows Primary School,Prim,http://www.amps.vic.edu.au,VIC,altona.meadows.ps@education.vic.gov.au,03 9369 1288,Gov
93,Altona North Primary School,Prim,http://www.altonanorthps.vic.edu.au,VIC,altona.north.ps@education.vic.gov.au,93914233,Gov
94,Altona Primary School,Prim,http://www.altonaps.vic.edu.au,VIC,altona.ps@education.vic.gov.au,(03) 9398 2925,Gov
95,Alvie Primary School,Prim,https://www.alvie-ps.vic.edu.au/,VIC,alvie.ps@education.vic.gov.au,"03 5234 8256, (03) 5234 8256",Gov
96,Amanbidji School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/amanbidji-school,NT,teach.det@education.nt.gov.au,1800 646 391,Gov
97,Ambarvale High School,Sec,https://ambarvale-h.schools.nsw.gov.au,NSW,ambarvale-h.school@det.nsw.edu.au,02 4627 1800,Gov
98,Ambarvale Public School,Prim,https://ambarvale-p.schools.nsw.gov.au,NSW,ambarvale-p.school@det.nsw.edu.au,02 4626 1485,Gov
99,Ambrose Treacy College,Pri/Sec,http://www.atc.qld.edu.au/,QLD,admin@atc.qld.edu.au,"36 582 902 965, (07) 3878 0500, 07 3878 0500",NG
100,Amoonguna School,Prim,https://www.teachintheterritory.nt.gov.au/schools/amoonguna-school,NT,teach.det@education.nt.gov.au,1800 646 391,Gov
101,Amphitheatre Primary School,Prim,http://www.amphips.vic.edu.au,VIC,"mymail@mailservice.com, amphitheatre.ps@education.vic.gov.au","555-555-5555, 03 5466 2223",Gov
102,Ampilatwatja School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/ampilatwatja-school,NT,teach.det@education.nt.gov.au,"101255584774324, 1800 646 391",Gov
103,Andale School,Special,http://www.andale.vic.edu.au,VIC,andaleschool@andale.vic.edu.au,03 9853 3911,NG
104,Angle Vale Primary School,Prim,http://www.avps.sa.edu.au,SA,dl.0255.info@schools.sa.edu.au,(08) 8284 7222,Gov
105,Anglesea Primary School,Prim,http://www.angleseaps.vic.edu.au,VIC,anglesea.ps@education.vic.gov.au,352631231,Gov
106,Annandale North Public School,Prim,https://annandalen-p.schools.nsw.gov.au,NSW,annandalen-p.school@det.nsw.edu.au,02 9660 3972,Gov
107,Annangrove Public School,Prim,https://annangrove-p.schools.nsw.gov.au,NSW,annangrove-p.school@det.nsw.edu.au,02 9679 1303,Gov
108,Anne Hamersley Primary School,Prim,http://www.annehamersleyps.wa.edu.au,WA,annehamersley.ps@education.wa.edu.au,892977000,Gov
109,Annunciation School,Prim,http://www.asbrooklyn.catholic.edu.au,VIC,principal@asbrooklyn.catholic.edu.au,393146271,NG
110,Anson Street School,Special,https://ansonst-s.schools.nsw.gov.au,NSW,ansonst-s.school@det.nsw.edu.au,02 6362 4563,Gov
111,Antonine College,Pri/Sec,http://www.antonine.catholic.edu.au,VIC,enquiries@antonine.catholic.edu.au,(03) 9354 1377,NG
112,Antonio Catholic School,Prim,http://www.antonio.catholic.edu.au,SA,info@antonio.catholic.edu.au,"0419 866 581, 08 8325 4500",NG
113,Antonio Park Primary School,Prim,http://www.antoniops.vic.edu.au,VIC,antonio.park.ps@education.vic.gov.au,398744371,Gov
114,Anzac Park Public School,Prim,https://anzacpark-p.schools.nsw.gov.au,NSW,anzacpark-p.school@det.nsw.edu.au,02 9922 3288,Gov
115,Anzac Terrace Primary School,Prim,http://anzacterrace.wa.edu.au/,WA,anzacterrace.ps@education.wa.edu.au,(08)Â 9352 2600,Gov
116,Apollo Parkways Primary School,Prim,http://www.apolloparkps.vic.edu.au,VIC,apollo.parkways.ps@education.vic.gov.au,(03) 9433 1300,Gov
117,Appin Park Primary School,Prim,http://www.appinparkps.vic.edu.au,VIC,appin.park.ps@education.vic.gov.au,03 5722 1326,Gov
118,Applecross Senior High School,Sec,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4002,WA,axshs.email@education.wa.edu.au,,Gov
119,Aquinas Catholic College,Sec,https://aquinasmenai.syd.catholic.edu.au,NSW,info@aquinasmenai.catholic.edu.au,"(02) 9543 0188, 234 (02) 9543 0188, (02) 9543 2677",NG
120,Aquinas College,Sec,http://www.aquinas.vic.edu.au,VIC,principal@aquinas.vic.edu.au,67 572 210 499,NG
121,Aquinas College,Pri/Sec,http://www.aquinas.wa.edu.au,WA,"admin@aquinas.wa.edu.au, enrolments@aquinas.wa.edu.au",,NG
122,Araluen Primary School,Prim,http://www.araluenps.vic.edu.au,VIC,araluen.ps@education.vic.gov.au,03 5144 2111,Gov
123,Aranmore Catholic Primary School,Prim,http://www.aranmorecps.wa.edu.au,WA,admin@aranmorecps.wa.edu.au,(08) 6318 7800,NG
124,Ararat North Primary School,Prim,http://www.anps.vic.edu.au,VIC,ararat.north.ps@education.vic.gov.au,03 5352 3766,Gov
125,Ararat Secondary College,Sec,http://www.araratcc.vic.edu.au,VIC,ararat.sc@education.vic.gov.au,(03) 5352 4177,Gov
126,Ararat West Primary School,Prim,http://www.araratwestps.vic.edu.au,VIC,ararat.west.ps@education.vic.gov.au,(03) 5352 1909,Gov
127,Arbor Grove Primary School,Prim,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5792,WA,arborgrove.ps@education.wa.edu.au,,Gov
128,Arcadia College,Special,https://www.arcadia.qld.edu.au/,QLD,"adminde@arcadia.qld.edu.au, admin@arcadia.qld.edu.au","(07) 5655 1888, (07) 5655 1818, (07) 5655 1800, (07) 3063 5925, (07) 5655 1806",NG
129,Arcadia Public School,Prim,https://arcadia-p.schools.nsw.gov.au,NSW,arcadia-p.school@det.nsw.edu.au,02 9653 1207,Gov
130,Arcadia Vale Public School,Prim,https://arcadiaval-p.schools.nsw.gov.au,NSW,arcadiaval-p.school@det.nsw.edu.au,02 4975 1181,Gov
131,Ardeer South Primary School,Prim,http://www.ardeersthps.vic.edu.au,VIC,ardeer.south.ps@education.vic.gov.au,393632768,Gov
132,Ardlethan Central School,Pri/Sec,https://ardlethan-c.schools.nsw.gov.au,NSW,ardlethan-c.school@det.nsw.edu.au,02 6978 2046,Gov
133,Ardmona Primary School,Prim,http://www.ardmonaps.vic.edu.au/,VIC,ardmona.ps@education.vic.gov.au,"(03) 5829 0273, 0419 388 732",Gov
134,Ardross Primary School,Prim,http://www.ardrossps.wa.edu.au/,WA,ardross.ps@education.wa.edu.au,892631350,Gov
135,Ardrossan Area School,Pri/Sec,http://www.ardas.sa.edu.au/,SA,dl.0732.info@schools.sa.edu.au,(08) 8837 3025,Gov
136,Argenton Public School,Prim,https://argenton-p.schools.nsw.gov.au,NSW,argenton-p.school@det.nsw.edu.au,02 4958 1805,Gov
137,Armadale Education Support Centre,Special,http://armadaleesc.wa.edu.au/,WA,armadale.esc@education.wa.edu.au,"0437 885 896, 08 9497 6435",Gov
138,Armadale Primary School,Prim,http://www.armadaleps.vic.edu.au,VIC,armadale.ps@education.vic.gov.au,03 9822 7003,Gov
139,Armidale City Public School,Prim,https://armidalec-p.schools.nsw.gov.au,NSW,armidalec-p.school@det.nsw.edu.au,02 6772 3420,Gov
140,Armidale Secondary College,Sec,https://armidale-s.schools.nsw.gov.au,NSW,armidale-s.school@det.nsw.edu.au,02 6776 7400,Gov
141,Armstrong Creek School,Prim,http://www.armstrongcreekschool.vic.edu.au/,VIC,armstrong.creek.school@education.vic.gov.au,"0352185100, 03 5218 5100",Gov
142,Arncliffe Public School,Prim,https://arncliffe-p.schools.nsw.gov.au,NSW,arncliffe-p.school@det.nsw.edu.au,02 9567 5060,Gov
143,Arndell School,Special,https://arndell-s.schools.nsw.gov.au,NSW,arndell-s.school@det.nsw.edu.au,02 9888 3737,Gov
144,Arnolds Creek Primary School,Prim,http://arnoldscreekps.vic.edu.au/,VIC,arnolds.creek.ps@education.vic.gov.au,(03) 9732 8300,Gov
145,Arrahman College,Prim,https://arrahmancollege.nsw.edu.au,NSW,admin@arrahmancollege.nsw.edu.au,(02) 8107 6000,NG
146,Arranounbai School,Special,https://arranoun-s.schools.nsw.gov.au,NSW,arranoun-s.school@det.nsw.edu.au,02 9452 3168,Gov
147,Arthurs Creek Primary School,Prim,http://acps.vic.edu.au/,VIC,arthurs.creek.ps@education.vic.gov.au,397148204,Gov
148,Ascot State School,Prim,https://ascotss.eq.edu.au,QLD,learning@home.Read,,Gov
149,Ascot Vale West Primary School,Prim,http://www.avwps.vic.edu.au,VIC,ascot.vale.west.ps@education.vic.gov.au,(03) 9370 8784,Gov
150,Ashburton Drive Primary School,Prim,http://www.ashburtondriveps.wa.edu.au,WA,AshburtonDrive.PS@education.wa.edu.au,(08) 9234 6300,Gov
151,Ashburton Primary School,Prim,http://www.ashburtonps.vic.edu.au,VIC,ashburton.ps@education.vic.gov.au,03 9813 9400,Gov
152,Ashbury Public School,Prim,https://ashbury-p.schools.nsw.gov.au,NSW,ashbury-p.school@det.nsw.edu.au,02 9798 4509,Gov
153,Ashby Primary School,Prim,http://www.ashbyps.vic.edu.au/Ashby/Ashby_Primary_School.html,VIC,ashby.ps@education.vic.gov.au,"(03) 5223 1291, 03 5223 1291",Gov
154,Ashcroft High School,Sec,https://ashcroft-h.schools.nsw.gov.au,NSW,ashcroft-h.school@det.nsw.edu.au,02 9607 8011,Gov
155,Ashcroft Public School,Prim,https://ashcroft-p.schools.nsw.gov.au,NSW,ashcroft-p.school@det.nsw.edu.au,(02) 9607 8202,Gov
156,Ashfield Primary School,Prim,https://www.ashfieldps.wa.edu.au/,WA,ashfield.ps@education.wa.edu.au,"08 6216 1300, 0437 153 984",Gov
157,Ashfield Public School,Prim,https://ashfield-p.schools.nsw.gov.au,NSW,ashfield-p.school@det.nsw.edu.au,02 9798 4400,Gov
158,Ashford Central School,Pri/Sec,https://ashford-c.schools.nsw.gov.au,NSW,ashford-c.school@det.nsw.edu.au,02 6725 4101,Gov
159,Ashley Park Primary School,Prim,https://www.ashleyparkps.vic.edu.au,VIC,ashley.park.ps@education.vic.gov.au,(03) 8776 0200,Gov
160,Ashmont Public School,Prim,https://ashmont-p.schools.nsw.gov.au,NSW,ashmont-p.school@det.nsw.edu.au,02 6931 4944,Gov
161,Ashwood High School,Sec,http://www.ashwood.vic.edu.au,VIC,ashwood.hs@education.vic.gov.au,98071333,Gov
162,Ashwood School,Special,http://www.ashwoodsch.vic.edu.au,VIC,ashwood.sch@education.vic.gov.au,398087444,Gov
163,Aspendale Gardens Primary School,Prim,http://www.agps.vic.edu.au,VIC,aspendale.gardens.ps@education.vic.gov.au,(03) 9587 0877,Gov
164,Aspendale Primary School,Prim,http://www.aspendale.vic.edu.au,VIC,aspendale.ps@education.vic.gov.au,395803255,Gov
165,Aspiri Primary School,Prim,http://aspirips.wa.edu.au/,WA,aspiri.ps@education.wa.edu.au,08 9397 8300,Gov
166,Asquith Boys High School,Sec,https://asquithboy-h.schools.nsw.gov.au,NSW,asquithboy-h.school@det.nsw.edu.au,02 9477 3508,Gov
167,Asquith Girls High School,Sec,https://asquithgir-h.schools.nsw.gov.au,NSW,asquithgir-h.school@det.nsw.edu.au,02 9477 6411,Gov
168,Asquith Public School,Prim,https://asquith-p.schools.nsw.gov.au,NSW,asquith-p.school@det.nsw.edu.au,02 9477 1258,Gov
169,Assumption Catholic Primary School,Prim,http://www.assumption.wa.edu.au,WA,admin@assumption.wa.edu.au,(08) 9583 8500,NG
170,Athelstane Public School,Prim,https://athelstane-p.schools.nsw.gov.au,NSW,athelstane-p.school@det.nsw.edu.au,02 9567 3550,Gov
171,Athol Road Primary School,Prim,https://atholroadps.vic.edu.au/,VIC,athol.road.ps@education.vic.gov.au,,Gov
172,Attadale Primary School,Prim,http://attadaleps.wa.edu.au/,WA,attadale.ps@education.wa.edu.au,08 6274 1700,Gov
173,Attunga Public School,Prim,https://attunga-p.schools.nsw.gov.au,NSW,attunga-p.school@det.nsw.edu.au,02 6769 5554,Gov
174,Atwell Primary School,Prim,https://www.atwellps.wa.edu.au/,WA,atwell.ps@education.wa.edu.au,(08) 6174 2400,Gov
175,Auburn Girls High School,Sec,https://auburng-h.schools.nsw.gov.au,NSW,auburng-h.school@det.nsw.edu.au,02 9649 6949,Gov
176,Auburn North Public School,Prim,https://auburnnth-p.schools.nsw.gov.au,NSW,auburnnth-p.school@det.nsw.edu.au,02 9748 1036,Gov
177,Auburn Primary School,Prim,http://www.auburnps.vic.edu.au,VIC,auburn.ps@education.vic.gov.au,03 9882 7035,Gov
178,Auburn Primary School,Prim,http://www.auburnps.sa.edu.au,SA,dl.0425.info@schools.sa.edu.au,(08) 8849 2112,Gov
179,Auburn Public School,Prim,https://auburn-p.schools.nsw.gov.au,NSW,auburn-p.school@det.nsw.edu.au,02 9646 2200,Gov
180,Auburn South Primary School,Prim,http://www.auburnsthps.vic.edu.au,VIC,auburn.south.ps@education.vic.gov.au,"03 9882 2140, (03) 9882 2140",Gov
181,Aurora College,Sec,https://aurora.schools.nsw.gov.au,NSW,auroracoll-h.school@det.nsw.edu.au,1300 287 629,Gov
182,Aurora School,Special,http://www.auroraschool.vic.edu.au,VIC,enquire@auroraschool.vic.edu.au,"(03) 88789878, (03) 88789800",Gov
183,Aurora Southern Highlands Steiner School,Pri/Sec,http://aurorasteiner.nsw.edu.au/,NSW,"playgroup@aurorasteiner.nsw.edu.au, admin@aurorasteiner.nsw.edu.au, enrol@aurorasteiner.nsw.edu.au",(02) 4862 2300,NG
184,Austin Hospital School,Special,https://austinschool.vic.edu.au/,VIC,austin.sch@education.vic.gov.au,"(03) 9496 5324, (03) 9457 2642",Gov
185,Austinmer Public School,Prim,https://austinmer-p.schools.nsw.gov.au,NSW,austinmer-p.school@det.nsw.edu.au,02 4267 1311,Gov
186,Austins Ferry Primary School,Prim,https://austinsferryprimary.education.tas.edu.au/,TAS,austins.ferry.primary@decyp.tas.gov.au,(03) 6275 7222,Gov
